matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_393336032,1674,108,10,17,96784,34631,1384,1270,355,52725,68,610,418,236,342,47,19,36,False,0,True,3,False,0,False,2,25271,False,42,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,157,777,51,11,141,39,202,54,111,33,100,False
OC1_393351491,2133,170,14,21,96068,44847,726,697,543,61170,80,347,456,259,221,39,28,34,False,0,True,5,False,0,False,4,53892,False,38,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,120,53,238,122,141,84,99,157,111,17,100,True
OC1_393351491,2133,137,1,21,93206,40587,1101,1930,598,55515,74,480,468,271,316,43,22,43,False,0,False,0,False,0,True,4,25946,True,21,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,120,53,238,122,141,84,99,157,111,17,200,False
OC1_400843804,1662,90,5,13,87598,34713,613,1158,465,53764,68,439,557,251,166,39,22,32,False,0,True,3,True,3,True,11,53391,True,39,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,82,99,238,147,20,35,119,34,122,99,100,True
OC1_400843804,1662,80,7,19,75637,37714,1118,1148,418,41163,61,661,239,197,175,62,20,38,False,0,False,0,False,0,False,0,6435,False,20,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,82,99,238,147,20,35,119,34,122,99,200,False
OC1_400821395,1430,82,1,5,62705,25321,237,1736,362,44103,63,671,288,181,329,61,10,30,False,0,True,4,True,1,True,6,54321,False,32,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,777,147,234,51,75,82,36,84,25,777,100,True
OC1_400821395,1430,54,2,17,41713,8953,795,539,338,30622,53,261,207,95,117,26,19,16,False,0,False,0,False,0,False,0,17337,True,11,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,777,147,234,51,75,82,36,84,25,777,200,False
OC1_400807104,1474,96,5,11,74188,28921,631,1366,359,43656,63,762,688,174,260,48,28,21,False,0,True,2,False,0,False,5,25255,True,31,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,157,555,26,17,131,234,147,120,29,100,True
OC1_400807104,1474,64,1,15,63178,23554,892,962,312,37704,58,318,254,157,385,41,28,16,False,0,False,1,False,0,True,1,21539,False,19,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,157,555,26,17,131,234,147,120,29,200,False
OC1_400813365,1840,106,5,12,77915,22655,512,901,533,60180,77,651,385,410,298,43,32,20,False,0,False,2,True,3,True,11,64380,True,40,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,122,147,238,21,120,11,145,235,238,875,100,True
